CVTA_ID,SampleDateTime,ForkLength,LAD_Race,Genetic_Assignment,Prob_Assignment,Spring_Pop_Assignment,Facility,Date_Assigned
C250348CVP,2025-04-05 04:00,66,Fall,Fall,0.922,NA,CVP,2025-04-14
C250347CVP,2025-04-05 04:00,86,Spring,Fall,0.69,NA,CVP,2025-04-14
C250335SWP,2025-04-05 09:00,86,Spring,Fall,0.56,NA,SWP,2025-04-14
C250336SWP,2025-04-05 09:00,102,Spring,Spring,0.554,Feather River,SWP,2025-04-14
C250337SWP,2025-04-05 11:00,91,Spring,Fall,0.62,NA,SWP,2025-04-14
C259001SWP,2025-04-05 13:00,94,Spring,Fall,0.768,NA,SWP,2025-04-14
C250339SWP,2025-04-05 15:00,93,Spring,Spring,0.787,Feather River,SWP,2025-04-14
C250338SWP,2025-04-05 15:00,92,Spring,Spring,0.402,Feather River,SWP,2025-04-14
C250340SWP,2025-04-05 17:00,91,Spring,Fall,0.692,NA,SWP,2025-04-14
C250349CVP,2025-04-05 22:00,84,Spring,Fall,0.97,NA,CVP,2025-04-14
C250350CVP,2025-04-05 22:00,76,Spring,Fall,0.48,NA,CVP,2025-04-14
C250351CVP,2025-04-05 23:59,69,Fall,Fall,0.94,NA,CVP,2025-04-14
C250352CVP,2025-04-05 23:59,82,Spring,Fall,0.8,NA,CVP,2025-04-14
C250353CVP,2025-04-06 02:00,78,Spring,Fall,0.941,NA,CVP,2025-04-14
C250354CVP,2025-04-06 06:00,96,Spring,Spring,0.785,Feather River,CVP,2025-04-14
C250341SWP,2025-04-06 09:00,128,Winter,Spring,1,Feather River,SWP,2025-04-08
C250342SWP,2025-04-06 09:00,98,Spring,Fall,0.557,NA,SWP,2025-04-14
C250343SWP,2025-04-06 11:00,106,Spring,Spring,0.805,Feather River,SWP,2025-04-14
C250344SWP,2025-04-06 13:00,98,Spring,Fall,0.512,NA,SWP,2025-04-14
C250356CVP,2025-04-06 14:00,74,Fall,Fall,0.971,NA,CVP,2025-04-14
C250355CVP,2025-04-06 14:00,88,Spring,Fall,0.915,NA,CVP,2025-04-14
C250345SWP,2025-04-06 15:00,88,Spring,Spring,0.829,Feather River,SWP,2025-04-14
C250346SWP,2025-04-06 17:00,87,Spring,Fall,0.492,NA,SWP,2025-04-14
C250347SWP,2025-04-06 20:30,85,Spring,Spring,0.634,Feather River,SWP,2025-04-14
C250357CVP,2025-04-06 22:00,49,Fall,Fall,0.992,NA,CVP,2025-04-14
C250358CVP,2025-04-06 23:59,74,Fall,Fall,0.789,NA,CVP,2025-04-14
C250359CVP,2025-04-07 02:00,71,Fall,Fall,0.985,NA,CVP,2025-04-14
C250360CVP,2025-04-07 02:00,77,Spring,Fall,0.593,NA,CVP,2025-04-14
C250361CVP,2025-04-07 04:00,88,Spring,Fall,0.94,NA,CVP,2025-04-14
C250362CVP,2025-04-07 04:00,86,Spring,Fall,0.757,NA,CVP,2025-04-14
C250363CVP,2025-04-07 06:00,210,Winter,Fall,1,NA,CVP,2025-04-08
C250366CVP,2025-04-07 06:00,87,Spring,Spring,0.957,Feather River,CVP,2025-04-14
C250364CVP,2025-04-07 06:00,74,Fall,Fall,0.853,NA,CVP,2025-04-14
C250367CVP,2025-04-07 06:00,97,Spring,Fall,0.849,NA,CVP,2025-04-14
C250365CVP,2025-04-07 06:00,84,Spring,Fall,0.83,NA,CVP,2025-04-14
C250348SWP,2025-04-07 09:00,91,Spring,Spring,0.901,Feather River,SWP,2025-04-14
C250368CVP,2025-04-07 12:00,114,Spring,Fall,0.991,NA,CVP,2025-04-24
C250350SWP,2025-04-07 13:00,84,Spring,Fall,0.9,NA,SWP,2025-04-24
C250349SWP,2025-04-07 13:00,95,Spring,Fall,0.823,NA,SWP,2025-04-24
C250351SWP,2025-04-07 13:00,91,Spring,Spring,0.677,Feather River,SWP,2025-04-24
C250352SWP,2025-04-07 18:00,89,Spring,Fall,0.511,NA,SWP,2025-04-24
C250353SWP,2025-04-07 19:00,91,Spring,Spring,0.98,Feather River,SWP,2025-04-24
C250369CVP,2025-04-07 22:00,73,Fall,Fall,0.798,NA,CVP,2025-04-24
C250354SWP,2025-04-08 03:00,94,Spring,Spring,0.449,Feather River,SWP,2025-04-24
C250370CVP,2025-04-08 10:00,85,Spring,Fall,0.628,NA,CVP,2025-04-24
C250372CVP,2025-04-08 16:00,86,Spring,Fall,0.813,NA,CVP,2025-04-24
C250374CVP,2025-04-08 23:59,98,Spring,Spring,0.633,Feather River,CVP,2025-04-24
C250375CVP,2025-04-09 02:00,57,Fall,Fall,0.897,NA,CVP,2025-04-24
C250376CVP,2025-04-09 02:00,72,Fall,Fall,0.824,NA,CVP,2025-04-24
C250378CVP,2025-04-09 04:00,65,Fall,Fall,0.991,NA,CVP,2025-04-24
C250377CVP,2025-04-09 04:00,85,Spring,Fall,0.71,NA,CVP,2025-04-24
C250379CVP,2025-04-09 04:00,93,Spring,Fall,0.388,NA,CVP,2025-04-24
C250380CVP,2025-04-09 14:00,82,Spring,Spring,0.97,Feather River,CVP,2025-04-24
C250355SWP,2025-04-09 19:00,75,Fall,Fall,0.646,NA,SWP,2025-04-24
C250381CVP,2025-04-09 22:00,101,Spring,Fall,0.618,NA,CVP,2025-04-24
C250382CVP,2025-04-10 04:00,83,Spring,Fall,0.942,NA,CVP,2025-04-24
C250383CVP,2025-04-10 04:00,87,Spring,Fall,0.941,NA,CVP,2025-04-24
C250384CVP,2025-04-10 04:00,92,Spring,Spring,0.887,Feather River,CVP,2025-04-24
C250387CVP,2025-04-11 04:00,72,Fall,Fall,0.973,NA,CVP,2025-04-24
C250386CVP,2025-04-11 04:00,77,Fall,Fall,0.474,NA,CVP,2025-04-24
C250388CVP,2025-04-11 06:00,87,Spring,Fall,0.537,NA,CVP,2025-04-24
C250389CVP,2025-04-11 14:00,72,Fall,Fall,0.611,NA,CVP,2025-04-24
C250356SWP,2025-04-11 15:00,89,Spring,Spring,1,Feather River,SWP,2025-04-24
C250357SWP,2025-04-11 16:30,99,Spring,Spring,0.795,Feather River,SWP,2025-04-24
C250390CVP,2025-04-12 04:00,84,Spring,Fall,0.753,NA,CVP,2025-04-24
C250391CVP,2025-04-12 14:00,87,Spring,Spring,0.912,Feather River,CVP,2025-04-24
C250392CVP,2025-04-12 16:00,96,Spring,Fall,0.593,NA,CVP,2025-04-24
C250393CVP,2025-04-13 02:00,85,Spring,Fall,0.67,NA,CVP,2025-04-24
C250394CVP,2025-04-13 04:00,93,Spring,Fall,0.789,NA,CVP,2025-04-24
C250395CVP,2025-04-13 04:00,75,Fall,Fall,0.578,NA,CVP,2025-04-24
C250396CVP,2025-04-13 04:00,83,Spring,Fall,0.549,NA,CVP,2025-04-24
C250358SWP,2025-04-13 13:00,72,Fall,Fall,0.966,NA,SWP,2025-04-24
C250397CVP,2025-04-13 14:00,72,Fall,Fall,0.824,NA,CVP,2025-04-24
C250359SWP,2025-04-13 18:00,88,Spring,Fall,0.638,NA,SWP,2025-04-24
C250398CVP,2025-04-13 20:00,77,Fall,Fall,0.722,NA,CVP,2025-04-24
C250399CVP,2025-04-13 22:00,80,Spring,Fall,0.847,NA,CVP,2025-04-24
C250400CVP,2025-04-13 22:00,84,Spring,Fall,0.79,NA,CVP,2025-04-24
C250401CVP,2025-04-14 12:00,81,Spring,Fall,0.886,NA,CVP,2025-04-24
C250402CVP,2025-04-14 12:00,90,Spring,Fall,0.676,NA,CVP,2025-04-24
C250361SWP,2025-04-14 13:00,77,Fall,Fall,0.976,NA,SWP,2025-04-24
C250360SWP,2025-04-14 13:00,101,Spring,Fall,0.817,NA,SWP,2025-04-24
C250362SWP,2025-04-14 16:30,99,Spring,Fall,0.941,NA,SWP,2025-04-24
C250364SWP,2025-04-14 16:30,77,Fall,Fall,0.753,NA,SWP,2025-04-24
C250363SWP,2025-04-14 16:30,80,Spring,Fall,0.704,NA,SWP,2025-04-24
C250403CVP,2025-04-14 18:00,80,Spring,Fall,0.98,NA,CVP,2025-04-24
C250405CVP,2025-04-14 22:00,90,Spring,Fall,0.995,NA,CVP,2025-04-24
C250404CVP,2025-04-14 22:00,66,Fall,Fall,0.939,NA,CVP,2025-04-24
C250406CVP,2025-04-14 23:59,81,Spring,Fall,0.47,NA,CVP,2025-04-24
C250408CVP,2025-04-15 04:00,80,Spring,Fall,0.979,NA,CVP,2025-04-24
C250407CVP,2025-04-15 04:00,73,Fall,Fall,0.968,NA,CVP,2025-04-24
C250410CVP,2025-04-15 04:00,71,Fall,Fall,0.812,NA,CVP,2025-04-24
C250409CVP,2025-04-15 04:00,75,Fall,Fall,0.807,NA,CVP,2025-04-24
C250411CVP,2025-04-15 04:00,70,Fall,Fall,0.764,NA,CVP,2025-04-24
C250406SWP,2025-04-15 15:00,82,Spring,Fall,0.689,NA,SWP,2025-04-28
C250413CVP,2025-04-15 18:00,76,Fall,Fall,0.813,NA,CVP,2025-04-28
C250414CVP,2025-04-15 18:00,78,Fall,Fall,0.608,NA,CVP,2025-04-28
C250407SWP,2025-04-15 18:00,77,Fall,Fall,0.536,NA,SWP,2025-04-28
C250412CVP,2025-04-15 18:00,85,Spring,Fall,0.348,NA,CVP,2025-04-28
C250415CVP,2025-04-15 20:00,92,Spring,Fall,0.95,NA,CVP,2025-04-28
C250417CVP,2025-04-15 20:00,76,Fall,Fall,0.92,NA,CVP,2025-04-28
C250416CVP,2025-04-15 20:00,80,Spring,Fall,0.481,NA,CVP,2025-04-28
C250419CVP,2025-04-15 22:00,62,Fall,Fall,0.679,NA,CVP,2025-04-28
C250418CVP,2025-04-15 22:00,79,Fall,Fall,0.658,NA,CVP,2025-04-28
C250420CVP,2025-04-15 23:59,85,Spring,Fall,0.546,NA,CVP,2025-04-28
C250421CVP,2025-04-16 06:00,85,Spring,Fall,0.988,NA,CVP,2025-04-28
C250408SWPa,2025-04-16 11:00,73,Fall,Fall,0.84,NA,SWP,2025-04-28
C250409SWP,2025-04-16 16:30,78,Fall,Fall,0.974,NA,SWP,2025-04-28
C250422CVP,2025-04-16 20:00,83,Spring,Fall,0.74,NA,CVP,2025-04-28
C250425CVP,2025-04-16 20:00,82,Spring,Fall,0.5,NA,CVP,2025-04-28
C250423CVP,2025-04-16 20:00,77,Fall,Fall,0.474,NA,CVP,2025-04-28
C250424CVP,2025-04-16 20:00,82,Spring,Fall,0.445,NA,CVP,2025-04-28
C250428CVP,2025-04-16 22:00,81,Spring,Fall,0.992,NA,CVP,2025-04-28
C250426CVP,2025-04-16 22:00,83,Spring,Fall,0.812,NA,CVP,2025-04-28
C250427CVP,2025-04-16 22:00,83,Spring,Fall,0.81,NA,CVP,2025-04-28
C250429CVP,2025-04-17 04:00,89,Spring,Fall,0.641,NA,CVP,2025-04-28
C250430CVP,2025-04-17 04:00,90,Spring,Spring,0.414,Feather River,CVP,2025-04-28
C250431CVP,2025-04-17 06:00,70,Fall,Fall,0.965,NA,CVP,2025-04-28
C250365SWP,2025-04-17 15:00,86,Spring,Fall,0.579,NA,SWP,2025-04-28
C250432CVP,2025-04-17 16:00,79,Fall,Fall,0.914,NA,CVP,2025-04-28
C250433CVP,2025-04-17 16:00,84,Spring,Fall,0.65,NA,CVP,2025-04-28
C250369SWP,2025-04-17 16:30,82,Spring,Fall,0.97,NA,SWP,2025-04-28
C250374SWP,2025-04-17 16:30,81,Fall,Fall,0.936,NA,SWP,2025-04-28
C250368SWP,2025-04-17 16:30,97,Spring,Fall,0.833,NA,SWP,2025-04-28
C250375SWP,2025-04-17 16:30,89,Spring,Fall,0.797,NA,SWP,2025-04-28
C250373SWP,2025-04-17 16:30,75,Fall,Fall,0.796,NA,SWP,2025-04-28
C250371SWP,2025-04-17 16:30,103,Spring,Spring,0.759,Feather River,SWP,2025-04-28
C250367SWP,2025-04-17 16:30,92,Spring,Fall,0.747,NA,SWP,2025-04-28
C250372SWP,2025-04-17 16:30,93,Spring,Fall,0.693,NA,SWP,2025-04-28
C250366SWP,2025-04-17 16:30,75,Fall,Fall,0.662,NA,SWP,2025-04-28
C250370SWP,2025-04-17 16:30,103,Spring,Fall,0.435,NA,SWP,2025-04-28
C250434CVP,2025-04-17 22:00,78,Fall,Fall,0.948,NA,CVP,2025-04-28
C250378SWP,2025-04-18 15:30,86,Spring,Fall,0.998,NA,SWP,2025-04-28
C250376SWP,2025-04-18 15:30,103,Spring,Fall,0.968,NA,SWP,2025-04-28
C250379SWP,2025-04-18 15:30,83,Spring,Fall,0.939,NA,SWP,2025-04-28
C250377SWP,2025-04-18 15:30,102,Spring,Fall,0.668,NA,SWP,2025-04-28
C250380SWP,2025-04-18 15:30,78,Fall,Fall,0.545,NA,SWP,2025-04-28
C250435CVP,2025-04-18 22:00,93,Spring,Fall,0.991,NA,CVP,2025-04-28
C250436CVP,2025-04-19 02:00,76,Fall,Fall,0.996,NA,CVP,2025-04-28
C250437CVP,2025-04-19 12:00,81,Fall,Fall,0.921,NA,CVP,2025-04-28
C250381SWP,2025-04-19 15:30,102,Spring,Fall,0.986,NA,SWP,2025-04-28
C250382SWP,2025-04-19 15:30,94,Spring,Fall,0.65,NA,SWP,2025-04-28
C250438CVP,2025-04-20 04:00,100,Spring,Fall,0.565,NA,CVP,2025-04-28
C250443CVP,2025-04-20 23:59,83,Spring,Fall,1,NA,CVP,2025-04-28
C250440CVP,2025-04-20 23:59,81,Fall,Fall,0.987,NA,CVP,2025-04-28
C250441CVP,2025-04-20 23:59,78,Fall,Fall,0.964,NA,CVP,2025-04-28
C250444CVP,2025-04-20 23:59,89,Spring,Fall,0.953,NA,CVP,2025-04-28
C250442CVP,2025-04-20 23:59,85,Spring,Fall,0.926,NA,CVP,2025-04-28
C250439CVP,2025-04-20 23:59,79,Fall,Fall,0.822,NA,CVP,2025-04-28
C250383SWP,2025-04-21 16:30,76,Fall,Fall,0.997,NA,SWP,2025-05-07
C250385SWP,2025-04-21 16:30,104,Spring,Fall,0.622,NA,SWP,2025-05-07
C250384SWP,2025-04-21 16:30,79,Fall,Fall,0.515,NA,SWP,2025-05-07
C250445CVP,2025-04-21 22:00,86,Spring,Fall,0.46,NA,CVP,2025-05-07
C250446CVP,2025-04-22 02:00,71,Fall,Fall,0.931,NA,CVP,2025-05-07
C250447CVP,2025-04-22 02:00,81,Fall,Fall,0.603,NA,CVP,2025-05-07
C250448CVP,2025-04-22 02:00,84,Spring,Fall,0.544,NA,CVP,2025-05-07
C250452CVP,2025-04-22 04:00,84,Spring,Fall,0.876,NA,CVP,2025-05-07
C250450CVP,2025-04-22 04:00,82,Fall,Fall,0.862,NA,CVP,2025-05-07
C250449CVP,2025-04-22 04:00,77,Fall,Fall,0.629,NA,CVP,2025-05-07
C250451CVP,2025-04-22 04:00,80,Fall,Fall,0.447,NA,CVP,2025-05-07
C250453CVP,2025-04-22 06:00,71,Fall,Fall,0.824,NA,CVP,2025-05-07
C250389SWP,2025-04-22 16:30,83,Fall,Fall,0.952,NA,SWP,2025-05-07
C250386SWP,2025-04-22 16:30,84,Spring,Fall,0.895,NA,SWP,2025-05-07
C250388SWP,2025-04-22 16:30,83,Fall,Fall,0.647,NA,SWP,2025-05-07
C250387SWP,2025-04-22 16:30,81,Fall,Fall,0.521,NA,SWP,2025-05-07
C250454CVP,2025-04-22 22:00,76,Fall,Fall,0.739,NA,CVP,2025-05-07
C250455CVP,2025-04-22 22:00,84,Spring,Fall,0.526,NA,CVP,2025-05-07
C250456CVP,2025-04-22 23:59,85,Spring,Fall,0.552,NA,CVP,2025-05-07
C250457CVP,2025-04-23 02:00,84,Fall,Fall,1,NA,CVP,2025-05-07
C250458CVP,2025-04-23 02:00,80,Fall,Fall,0.932,NA,CVP,2025-05-07
C250460CVP,2025-04-23 04:00,82,Fall,Fall,0.778,NA,CVP,2025-05-07
C250459CVP,2025-04-23 04:00,93,Spring,Fall,0.662,NA,CVP,2025-05-07
C250461CVP,2025-04-23 10:00,80,Fall,Fall,0.985,NA,CVP,2025-05-07
C250462CVP,2025-04-23 16:00,73,Fall,Fall,0.702,NA,CVP,2025-05-07
C250410SWP,2025-04-23 18:30,81,Fall,Fall,0.531,NA,SWP,2025-05-07
C250463CVP,2025-04-23 23:59,85,Spring,Fall,0.912,NA,CVP,2025-05-07
C250391SWP,2025-04-24 16:30,98,Spring,Fall,0.944,NA,SWP,2025-05-07
C250390SWP,2025-04-24 16:30,114,Spring,Fall,0.78,NA,SWP,2025-05-07
C250464CVP,2025-04-24 22:00,100,Spring,Spring,0.994,Feather River,CVP,2025-05-07
C250465CVP,2025-04-24 23:59,76,Fall,Fall,0.717,NA,CVP,2025-05-07
C250466CVP,2025-04-25 02:00,86,Spring,Fall,0.957,NA,CVP,2025-05-07
C250467CVP,2025-04-25 04:00,71,Fall,Fall,0.856,NA,CVP,2025-05-07
C250468CVP,2025-04-25 04:00,90,Spring,Fall,0.383,NA,CVP,2025-05-07
C250469CVP,2025-04-25 06:00,94,Spring,Fall,0.83,NA,CVP,2025-05-07
C250470CVPa,2025-04-25 08:00,84,Fall,Fall,0.653,NA,CVP,2025-05-07
C250471CVP,2025-04-25 10:00,86,Spring,Fall,0.939,NA,CVP,2025-05-07
C250474CVP,2025-04-25 16:00,81,Fall,Fall,0.989,NA,CVP,2025-05-07
C250473CVP,2025-04-25 16:00,88,Spring,Fall,0.855,NA,CVP,2025-05-07
C250472CVP,2025-04-25 16:00,83,Fall,Fall,0.623,NA,CVP,2025-05-07
C250392SWPa,2025-04-25 16:30,82,Fall,Fall,0.89,NA,SWP,2025-05-07
C250393SWP,2025-04-25 16:30,82,Fall,Fall,0.617,NA,SWP,2025-05-07
C250394SWP,2025-04-25 16:30,85,Fall,Fall,0.525,NA,SWP,2025-05-07
C250475CVP,2025-04-25 22:00,95,Spring,Fall,0.752,NA,CVP,2025-05-07
C250476CVP,2025-04-25 22:00,88,Spring,Fall,0.42,NA,CVP,2025-05-07
C250478CVP,2025-04-25 23:59,89,Spring,Fall,0.999,NA,CVP,2025-05-07
C250479CVPa,2025-04-25 23:59,92,Spring,Fall,0.984,NA,CVP,2025-05-07
C250477CVP,2025-04-25 23:59,82,Fall,Fall,0.968,NA,CVP,2025-05-07
C250480CVP,2025-04-25 23:59,87,Spring,Fall,0.965,NA,CVP,2025-05-07
C250481CVP,2025-04-26 04:00,86,Fall,Fall,0.959,NA,CVP,2025-05-07
C250482CVP,2025-04-26 04:00,95,Spring,Fall,0.762,NA,CVP,2025-05-07
C250484CVP,2025-04-26 04:00,95,Spring,Fall,0.719,NA,CVP,2025-05-07
C250483CVP,2025-04-26 04:00,100,Spring,Spring,0.494,Feather River,CVP,2025-05-07
C250395SWP,2025-04-26 11:00,89,Spring,Fall,0.799,NA,SWP,2025-05-07
C250485CVP,2025-04-26 12:00,102,Spring,Fall,0.778,NA,CVP,2025-05-07
C250397SWP,2025-04-26 14:30,97,Spring,Fall,0.998,NA,SWP,2025-05-07
C250401SWP,2025-04-26 14:30,87,Spring,Fall,0.996,NA,SWP,2025-05-07
C250398SWP,2025-04-26 14:30,88,Spring,Fall,0.965,NA,SWP,2025-05-07
C250396SWP,2025-04-26 14:30,119,Spring,Fall,0.87,NA,SWP,2025-05-07
C250399SWP,2025-04-26 14:30,87,Spring,Fall,0.858,NA,SWP,2025-05-07
C250403SWP,2025-04-26 14:30,85,Fall,Fall,0.592,NA,SWP,2025-05-07
C250402SWP,2025-04-26 14:30,98,Spring,Fall,0.582,NA,SWP,2025-05-07
C250400SWP,2025-04-26 14:30,84,Fall,Fall,0.565,NA,SWP,2025-05-07
C250488CVP,2025-04-26 16:00,75,Fall,Fall,0.968,NA,CVP,2025-05-07
C250487CVP,2025-04-26 16:00,94,Spring,Spring,0.775,Feather River,CVP,2025-05-07
C250490CVP,2025-04-26 16:00,85,Fall,Fall,0.729,NA,CVP,2025-05-07
C250486CVP,2025-04-26 16:00,84,Fall,Fall,0.642,NA,CVP,2025-05-07
C250491CVP,2025-04-26 16:00,84,Fall,Fall,0.571,NA,CVP,2025-05-07
C250492CVP,2025-04-27 02:00,82,Fall,Spring,0.865,Feather River,CVP,2025-05-07
C250494CVP,2025-04-27 04:00,86,Fall,Fall,1,NA,CVP,2025-05-07
C250493CVP,2025-04-27 04:00,90,Spring,Fall,0.957,NA,CVP,2025-05-07
C250500CVP,2025-04-27 06:00,94,Spring,Fall,1,NA,CVP,2025-05-07
C250497CVP,2025-04-27 06:00,86,Fall,Fall,0.986,NA,CVP,2025-05-07
C250501CVP,2025-04-27 06:00,93,Spring,Fall,0.885,NA,CVP,2025-05-07
C250498CVP,2025-04-27 06:00,90,Spring,Fall,0.764,NA,CVP,2025-05-07
C250496CVP,2025-04-27 06:00,93,Spring,Fall,0.708,NA,CVP,2025-05-07
C250499CVP,2025-04-27 06:00,94,Spring,Fall,0.699,NA,CVP,2025-05-07
C250495CVP,2025-04-27 06:00,84,Fall,Fall,0.964,NA,CVP,2025-05-20
C250404SWP,2025-04-27 15:00,107,Spring,Fall,0.642,NA,SWP,2025-05-07
C250489SWP,2025-04-27 16:30,101,Spring,Fall,0.883,NA,SWP,2025-05-07
C250488SWP,2025-04-27 16:30,86,Fall,Fall,0.832,NA,SWP,2025-05-07
C250487SWP,2025-04-27 16:30,97,Spring,Fall,0.788,NA,SWP,2025-05-07
C250502CVP,2025-04-27 18:00,81,Fall,Fall,0.997,NA,CVP,2025-05-07
C250503CVP,2025-04-27 18:00,84,Fall,Fall,0.782,NA,CVP,2025-05-07
C250506CVP,2025-04-27 20:00,80,Fall,Fall,0.823,NA,CVP,2025-05-07
C250505CVP,2025-04-27 20:00,85,Fall,Fall,0.803,NA,CVP,2025-05-07
C250504CVP,2025-04-27 20:00,83,Fall,Fall,0.519,NA,CVP,2025-05-07
C250507CVP,2025-04-27 22:00,78,Fall,Fall,0.979,NA,CVP,2025-05-07
C250508CVP,2025-04-27 22:00,89,Spring,Fall,0.913,NA,CVP,2025-05-07
C250509CVP,2025-04-27 22:00,83,Fall,Fall,0.801,NA,CVP,2025-05-07
C250511CVP,2025-04-28 02:00,79,Fall,Fall,0.999,NA,CVP,2025-05-07
C250510CVP,2025-04-28 02:00,77,Fall,Fall,0.887,NA,CVP,2025-05-07
C250512CVP,2025-04-28 02:00,89,Spring,Fall,0.454,NA,CVP,2025-05-07
C250516CVP,2025-04-28 04:00,88,Spring,Fall,0.95,NA,CVP,2025-05-07
C250513CVP,2025-04-28 04:00,85,Fall,Fall,0.914,NA,CVP,2025-05-07
C250522CVP,2025-04-28 04:00,83,Fall,Fall,0.907,NA,CVP,2025-05-07
C250515CVP,2025-04-28 04:00,87,Fall,Fall,0.867,NA,CVP,2025-05-07
C250514CVP,2025-04-28 04:00,93,Spring,Fall,0.844,NA,CVP,2025-05-07
C250517CVP,2025-04-28 04:00,79,Fall,Fall,0.71,NA,CVP,2025-05-07
C250521CVP,2025-04-28 04:00,86,Fall,Fall,0.618,NA,CVP,2025-05-07
C250520CVP,2025-04-28 04:00,88,Spring,Fall,0.601,NA,CVP,2025-05-07
C250519CVP,2025-04-28 04:00,84,Fall,Fall,0.556,NA,CVP,2025-05-07
C250518CVP,2025-04-28 04:00,84,Fall,Fall,0.544,NA,CVP,2025-05-07
C250526CVP,2025-04-28 06:00,88,Spring,Fall,0.99,NA,CVP,2025-05-07
C250524CVP,2025-04-28 06:00,78,Fall,Fall,0.984,NA,CVP,2025-05-07
C250527CVP,2025-04-28 06:00,95,Spring,Fall,0.944,NA,CVP,2025-05-07
C250528CVP,2025-04-28 06:00,86,Fall,Fall,0.942,NA,CVP,2025-05-07
C250531CVP,2025-04-28 06:00,90,Spring,Fall,0.851,NA,CVP,2025-05-07
C250530CVP,2025-04-28 06:00,89,Spring,Fall,0.81,NA,CVP,2025-05-07
C250534CVP,2025-04-28 06:00,89,Spring,Fall,0.711,NA,CVP,2025-05-07
C250525CVP,2025-04-28 06:00,94,Spring,Fall,0.691,NA,CVP,2025-05-07
C250533CVP,2025-04-28 06:00,83,Fall,Fall,0.645,NA,CVP,2025-05-07
C250532CVP,2025-04-28 06:00,86,Fall,Fall,0.481,NA,CVP,2025-05-07
C250535CVP,2025-04-28 06:00,81,Fall,Fall,0.459,NA,CVP,2025-05-07
C250536CVP,2025-04-28 06:00,88,Spring,Fall,0.418,NA,CVP,2025-05-07
C250523CVP,2025-04-28 06:00,91,Spring,Fall,0.854,NA,CVP,2025-05-20
C250490SWP,2025-04-28 13:00,83,Fall,Fall,0.984,NA,SWP,2025-05-15
C250496SWP,2025-04-28 13:00,81,Fall,Fall,0.98,NA,SWP,2025-05-15
C250491SWP,2025-04-28 13:00,84,Fall,Fall,0.865,NA,SWP,2025-05-15
C250494SWP,2025-04-28 13:00,81,Fall,Fall,0.629,NA,SWP,2025-05-15
C250495SWP,2025-04-28 13:00,88,Spring,Fall,0.487,NA,SWP,2025-05-15
C250497SWP,2025-04-28 13:00,80,Fall,Fall,0.457,NA,SWP,2025-05-15
C250493SWP,2025-04-28 13:00,90,Spring,Fall,0.424,NA,SWP,2025-05-15
C250492SWP,2025-04-28 13:00,88,Spring,Fall,0.474,NA,SWP,2025-07-28
C250498SWP,2025-04-28 14:00,88,Spring,Fall,0.99,NA,SWP,2025-05-15
C250499SWP,2025-04-28 14:00,90,Spring,Fall,0.621,NA,SWP,2025-05-15
C250501SWP,2025-04-28 14:30,87,Fall,Fall,0.975,NA,SWP,2025-05-15
C250504SWP,2025-04-28 14:30,90,Spring,Fall,0.97,NA,SWP,2025-05-15
C250506SWP,2025-04-28 14:30,85,Fall,Fall,0.797,NA,SWP,2025-05-15
C250507SWP,2025-04-28 14:30,86,Fall,Fall,0.786,NA,SWP,2025-05-15
C250503SWP,2025-04-28 14:30,92,Spring,Fall,0.655,NA,SWP,2025-05-15
C250500SWP,2025-04-28 14:30,83,Fall,Fall,0.613,NA,SWP,2025-05-15
C250505SWP,2025-04-28 14:30,78,Fall,Fall,0.601,NA,SWP,2025-05-15
C250508SWP,2025-04-28 14:30,92,Spring,Fall,0.563,NA,SWP,2025-05-15
C250510SWP,2025-04-28 14:30,83,Fall,Fall,0.843,NA,SWP,2025-05-20
C250502SWP,2025-04-28 14:30,80,Fall,Fall,0.783,NA,SWP,2025-05-20
C250509SWP,2025-04-28 14:30,82,Fall,Fall,0.52,NA,SWP,2025-05-20
C250537CVP,2025-04-28 18:00,81,Fall,Fall,0.538,NA,CVP,2025-05-15
C250538CVP,2025-04-28 22:00,85,Fall,Fall,0.737,NA,CVP,2025-05-15
C250539CVP,2025-04-28 22:00,89,Spring,Fall,0.644,NA,CVP,2025-05-15
C250544CVP,2025-04-29 04:00,88,Spring,Fall,0.972,NA,CVP,2025-05-15
C250542CVP,2025-04-29 04:00,87,Fall,Fall,0.865,NA,CVP,2025-05-15
C250541CVP,2025-04-29 04:00,83,Fall,Fall,0.829,NA,CVP,2025-05-15
C250543CVP,2025-04-29 04:00,88,Spring,Fall,0.481,NA,CVP,2025-05-15
C250540CVP,2025-04-29 04:00,80,Fall,Fall,0.454,NA,CVP,2025-05-15
C250546CVP,2025-04-29 06:00,92,Spring,Fall,0.998,NA,CVP,2025-05-15
C250545CVP,2025-04-29 06:00,85,Fall,Fall,0.909,NA,CVP,2025-05-15
C250548CVP,2025-04-29 08:00,79,Fall,Fall,0.967,NA,CVP,2025-05-15
C250547CVP,2025-04-29 08:00,88,Spring,Fall,0.932,NA,CVP,2025-05-15
C250413SWP,2025-04-29 11:00,86,Fall,Fall,0.988,NA,SWP,2025-05-15
C250412SWP,2025-04-29 11:00,79,Fall,Fall,0.806,NA,SWP,2025-05-15
C250414SWP,2025-04-29 11:00,88,Spring,Fall,0.651,NA,SWP,2025-05-15
C250411SWP,2025-04-29 11:00,85,Fall,Fall,0.48,NA,SWP,2025-05-15
